KAZA TURU,KAZA TARIHI,AY,MEVSİM,KAZA SAAT,ILCE,MAHALLE,YOL,OLU SAYISI,YARALI SAYISI,TASIT SAYISI,SURUCU KUSURU,OLUS NEDENI,KAPLAMA CINSI,SERIT SAYISI,AYDINLATMA,YASAL HIZ LIMITI,ARAC CINSI,ARAC MODELI,SURUCU CINSIYET,SURUCU EGITIM DURUMU,EHLIYET YILI
Yaralamali,6/16/2014,6,yaz,13,MELIKGAZI,TACETTINVELI,SHT. MIRALAY NAZIM BEY BULV.,,1,1,56/1-c,Arkadan carpma,Asfalt,2,Yok,50,Otomobil,2013,erkek,2 YIL SURELI YUKSEK,13
Yaralamali,6/16/2014,6,yaz,19,KOCASINAN,BARBAROS,BAGDAT CD.,,1,3,52/1-a,"Devrilme,savrulma,takla",Asfalt,3,Var,70,Otomobil,1975,erkek,ILKOKUL,29
Yaralamali,6/16/2014,6,yaz,13,MELIKGAZI,ANBAR,6 CD.,,1,2,56/1-c,Duran araca carpma,Asfalt,2,Var,50,Otomobil,1997,erkek,ILKOKUL,20
Yaralamali,6/17/2014,6,yaz,13,KOCASINAN,YENIDOGAN,ADIYAMAN SK.,,1,1,47/1-b,Yandan carpma,Asfalt,2,Var,30,Otomobil,1993,erkek,ILKOKUL,17
Yaralamali,6/17/2014,6,yaz,10,MELIKGAZI,HURRIYET,FIRAT CD.,,1,1,47/1-b,Yandan carpma,Asfalt,2,Var,50,Otomobil,1996,kadin,ILKOKUL,11
Yaralamali,6/17/2014,6,yaz,15,MELIKGAZI,BATTALGAZI,KARTAL BULV.,,3,2,52/1-a,Yayaya carpma,Asfalt,2,Var,70,Kamyonet,2004,erkek,2 YIL SURELI YUKSEK,6
Yaralamali,6/17/2014,6,yaz,15,KOCASINAN,YESIL,SHT. KD. BNB. MAHMUT SAHIN CD.,,1,1,53/1-b,Yandan carpma,Asfalt,2,Yok,40,Kamyonet,1999,erkek,ILKOKUL,21
Yaralamali,6/18/2014,6,yaz,7,MELIKGAZI,GESI FATIH,ALPARSLAN TURKES BULV.,,2,2,57/1-a,Yandan carpma,Asfalt,2,Var,50,Otobus,1994,erkek,ILKOKUL,4
Yaralamali,6/18/2014,6,yaz,10,MELIKGAZI,KOSK,TALAS BULV.,,3,2,47/1-c,Karsilikli carpisma,Asfalt,2,Yok,50,Arazi Tasiti,2007,erkek,ILKOKUL,21
Yaralamali,6/18/2014,6,yaz,16,MELIKGAZI,HUNAT,SEYYID BURHANEDDIN BULV.,,1,1,52/1-a,Yandan carpma,Asfalt,3,Yok,40,Otomobil,1991,erkek,2 YIL SURELI YUKSEK,19
Yaralamali,6/18/2014,6,yaz,11,MELIKGAZI,ALPASLAN,EMEL SK.,,1,2,56/1-c,Arkadan carpma,Asfalt,2,Var,50,Otomobil,2005,erkek,ILKOGRETIM,2
Yaralamali,6/18/2014,6,yaz,19,KOCASINAN,KAYABASI,KOCASINAN BULV.,,6,2,52/1-a,Yandan carpma,Asfalt,2,Var,50,Ambulans,2012,erkek,ILKOKUL,25
Yaralamali,6/18/2014,6,yaz,19,KOCASINAN,GENERAL EMIR,ERKILET BULV.,,7,2,74,Yayaya carpma,Asfalt,2,Yok,50,Otobus,2004,erkek,ILKOGRETIM,7
Yaralamali,6/17/2014,6,yaz,20,KOCASINAN,ERCIYESEVLER,TUNA CD.,,1,1,56/1-c,Arkadan carpma,Asfalt,3,Yok,50,Otomobil,1998,erkek,LISE VE DENGI OKUL,1
Yaralamali,6/19/2014,6,yaz,18,TALAS,BASAKPINAR,,,1,1,55,Yandan carpma,Asfalt,2,Var,30,Otomobil,1994,erkek,ILKOGRETIM,2
Yaralamali,6/19/2014,6,yaz,23,TALAS,MEVLANA,,,1,2,53/1-b,Arkadan carpma,Asfalt,2,Var,50,Kamyonet,2013,erkek,LISE VE DENGI OKUL,3
